location,size(bhk),total_sqft,bath,balcony,price
Electronic City Phase II,2,1056.0,2.0,1.0,3907000.0
Chikka Tirupathi,4,2600.0,5.0,3.0,12000000.0
Uttarahalli,3,1440.0,2.0,3.0,6200000.0
Lingadheeranahalli,3,1521.0,3.0,1.0,9500000.0
Kothanur,2,1200.0,2.0,1.0,5100000.0
Whitefield,2,1170.0,2.0,1.0,3800000.0
Marathahalli,3,1310.0,3.0,1.0,6325000.0
Whitefield,3,1800.0,2.0,2.0,7000000.0
Whitefield,4,2785.0,5.0,3.0,29500000.0
7th Phase JP Nagar,2,1000.0,2.0,1.0,3800000.0
Gottigere,2,1100.0,2.0,2.0,4000000.0
Sarjapur,3,2250.0,3.0,2.0,14800000.0
Mysore Road,2,1175.0,2.0,2.0,7350000.0
Bisuvanahalli,3,1180.0,3.0,2.0,4800000.0
Raja Rajeshwari Nagar,3,1540.0,3.0,3.0,6000000.0
Ramakrishnappa Layout,3,2770.0,4.0,2.0,29000000.0
Manayata Tech Park,2,1100.0,2.0,2.0,4800000.0
Kengeri,1,600.0,1.0,1.0,1500000.0
Binny Pete,3,1755.0,3.0,1.0,12200000.0
Thanisandra,4,2800.0,5.0,2.0,38000000.0
Bellandur,3,1767.0,3.0,1.0,10300000.0
 Thanisandra,1,510.0,1.0,0.0,2525000.0
Mangammanapalya,3,1250.0,3.0,2.0,5600000.0
Electronic City,2,660.0,1.0,1.0,2310000.0
Whitefield,3,1610.0,3.0,2.0,8100000.0
Ramagondanahalli,2,1151.0,2.0,2.0,4877000.0
Electronic City,3,1025.0,2.0,1.0,4700000.0
Bisuvanahalli,3,1075.0,2.0,1.0,3500000.0
Hebbal,3,1760.0,2.0,2.0,12300000.0
Raja Rajeshwari Nagar,3,1693.0,3.0,3.0,5739000.0
Kanakpura Road,2,700.0,2.0,1.0,3600000.0
Electronics City Phase 1,2,1070.0,2.0,1.0,4550000.0
Kundalahalli,3,1724.0,3.0,2.0,12500000.0
Chikkalasandra,3,1290.0,2.0,2.0,5612000.0
Uttarahalli,2,1143.0,2.0,2.0,4500000.0
Sarjapur  Road,3,1254.0,3.0,2.0,3800000.0
Ganga Nagar,1,600.0,1.0,0.0,3800000.0
Yelahanka,1,660.0,1.0,0.0,4800000.0
Kanakpura Road,2,1330.74,2.0,2.0,9179000.0
